symbol	entrez_id
AARSD1	80755
ABHD8	79575
ACD	65057
ACSL3	2181
ACTMAP	284325
ACTRT3	84517
AFDN	4301
AJM1	389813
AKAP10	11216
AKAP13	11214
ALOX15	246
AMIGO2	347902
ANKMY2	57037
ANKRD13D	338692
ANO9	338440
ANP32E	81611
AP2S1	1175
AP3M1	26985
AREL1	9870
ARHGEF6	9459
ARRDC2	27106
ARVCF	421
ASAP3	55616
ASB13	79754
ATAD3A	55210
ATOH8	84913
ATP5MC1	516
AXIN1	8312
BANF1P1	317687
BCL2L12	83596
BMP4	652
BOLA3	388962
BTBD19	149478
BUB3	9184
BUD13	84811
BZW2	28969
C2CD2L	9854
C2CD4A	145741
C5AR2	27202
CABLES2	81928
CADPS2	93664
CAP2	10486
CARD19	84270
CASC3	22794
CASKIN2	57513
CASTOR3P	352954
CBARP	255057
CCAR2	57805
CCDC51	79714
CCDC85C	317762
CCDC88B	283234
CCDC9	26093
CCN2	1490
CCND3	896
CDC25B	994
CDH24	64403
CDK11A	728642
CDK18	5129
CEBPG	1054
CENPB	1059
CERK	64781
CFAP144	440585
CFAP46	54777
CFAP90	134121
CFL1	1072
CIB1	10519
CISH	1154
CLEC11A	6320
CLPTM1L	81037
CMAHP	8418
CMYA5	202333
CNNM4	26504
CNOT8	9337
CNTD1	124817
COA3	28958
COX6C	1345
CPPED1	55313
CPT1A	1374
CRB3	92359
CRIP1	1396
CRIP2	1397
CSK	1445
CUTA	51596
CUX1	1523
CYSRT1	375791
DAG1	1605
DDA1	79016
DDX25	29118
DNAJC1	64215
DNASE1L2	1775
DNASE2	1777
DNM1P38	100216517
DUSP4	1846
DYNLT4	343521
DYSF	8291
E2F3	1871
E4F1	1877
ECEL1P2	347694
EDN1	1906
EDN2	1907
EEFSEC	60678
EHMT1	79813
EIF4EBP1	1978
ENKD1	84080
EPHB4	2050
EPS15L1	58513
FAAP100	80233
FAXDC2	10826
FBXO28	23219
FCF1	51077
FGFR2	2263
FKBP10	60681
FLACC1	130540
FPASL	128266845
FTSJ3	117246
FZD6	8323
GATAD2B	57459
GCLC	2729
GDPGP1	390637
GIPC1	10755
GPI	2821
GPR87	53836
GRK2	156
GSTM3	2947
H1-3	3007
H2AC15	8330
H2AC9P	387323
H2BC15	8341
H2BC18	440689
H3C13	653604
H4C8	8365
HABP4	22927
HACD1	9200
HEBP2	23593
HECTD1	25831
HHAT	55733
HNRNPR	10236
HOXA10	3206
HOXA10-HOXA9	100534589
HOXA11	3207
HOXA3	3200
HOXA4	3201
HOXA5	3202
HOXA6	3203
HOXA7	3204
HOXA9	3205
HSD11B2	3291
IGFBP2	3485
IGFBP3	3486
IL17REL	400935
INAVA	55765
IRF2BP2	359948
IRF3	3661
JUP	3728
KAZALD1	81621
KCNN1	3780
KIF3C	3797
KILH	101927136
KLF1	10661
KPNA2	3838
KRT18P55	284085
KRT7	3855
KRT86	3892
KRT8P41	283102
KRTCAP2	200185
LAMA5	3911
LDHD	197257
LGI1	9211
LIN54	132660
LNCATV	101927851
LOXL1	4016
LOXL4	84171
LPIN3	64900
LRATD2	157638
LRR1	122769
LRRC26	389816
LRRC28	123355
LTC4S	4056
LY6E	4061
LYPLA1	10434
MACO1	55219
MACROD1	28992
MACROH2A2	55506
MAMDC4	158056
MAP2K3	5606
MAP6D1	79929
