"subfamily","bp","pM_obs","pM_exp","pM_ratio","pM_p","nM_obs","nM_exp","nM_ratio","nM_p","pM_fdr","nM_fdr"
"AluYa8",45486,0,0,0,1,0,0.2,0,1,1,1
"AluYb10",4960,0,0,0,1,0,0,0,1,1,1
"AluYb11",178,0,0,0,1,0,0,0,1,1,1
"AluYb8a1",3256,0,0,0,1,0,0,0,1,1,1
"AluYb9",99922,0,0.1,0,1,0,0.5,0,1,1,1
"AluYc3",155864,0,0.1,0,1,0,0.7,0,1,1,1
"AluYd8",57077,0,0.1,0,1,0,0.3,0,1,1,1
"AluYg6",174258,0,0.2,0,1,0,0.8,0,1,1,1
"AluYh3a3",77311,0,0.1,0,1,0,0.3,0,1,1,1
"AluYh7",24949,0,0,0,1,0,0.1,0,1,1,1
"AluYh9",12891,0,0,0,1,0,0.1,0,1,1,1
"AluYi6",93122,0,0.1,0,1,0,0.4,0,1,1,1
"AluYi6_4d",36314,0,0,0,1,0,0.2,0,1,1,1
"AluYk12",38172,0,0,0,1,0,0.2,0,1,1,1
"AluYk2",343952,0,0.3,0,1,0,1.6,0,0.416170833113322,1,1
"AluYk4",315999,0,0.3,0,1,0,1.4,0,0.413066467953714,1,1
"AluYa5",1207591,0,1.1,0,0.6332178093683,1,5.5,0.183,0.0515323845169794,1,0.505017368266398
"AluYf1",616413,0,0.6,0,1,1,2.8,0.359,0.538274576704958,1,1
"AluSq4",539286,0,0.5,0,1,1,2.4,0.411,0.740311809983178,1,1
"AluY",33438407,12,30,0.401,0.000309310325711558,64,151,0.424,1.37285665683324e-15,0.0151562059598664,6.72699761848286e-14
"AluSc",10377677,1,9.3,0.108,0.00157427015090996,20,46.9,0.427,1.43037710345404e-05,0.0298161554308314,0.00035044239034624
"AluYb8",849674,2,0.8,2.627,0.17732227098354,2,3.8,0.521,0.602289061830379,0.642284411694004,1
"AluYk3",421119,0,0.4,0,1,1,1.9,0.526,1,1,1
"AluYm1",1510891,1,1.4,0.739,1,4,6.8,0.586,0.437801222668649,1,1
"AluYe5",366306,0,0.3,0,1,1,1.7,0.604,1,1,1
"AluSg7",2543617,0,2.3,0,0.183509831912572,8,11.5,0.696,0.375058016784395,0.642284411694004,1
"AluYh3",636470,1,0.6,1.754,0.434622001095211,2,2.9,0.696,1,1,1
"AluSq",5737310,1,5.1,0.195,0.0728827642675554,20,25.9,0.772,0.279055148761313,0.410814236813219,1
"AluSc8",6621228,0,5.9,0,0.00588511285450936,24,29.9,0.803,0.313886856016409,0.0720926324677397,1
"AluSg",11530852,5,10.3,0.484,0.11603628479407,42,52.1,0.807,0.186312467434352,0.473814829575786,1
"AluSx3",9035779,4,8.1,0.494,0.212538797301802,34,40.8,0.833,0.345736902673249,0.694293404519221,1
"AluSx",35977684,22,32.2,0.683,0.0754556761493668,136,162.5,0.837,0.0363314749556951,0.410814236813219,0.445060568207265
"AluJo",18416238,5,16.5,0.303,0.00182547890392845,71,83.2,0.854,0.20531178602951,0.0298161554308314,1
"AluSq2",18656730,10,16.7,0.598,0.109571066017179,73,84.3,0.866,0.229407272798519,0.473814829575786,1
"AluSq10",499284,0,0.4,0,1,2,2.3,0.887,1,1,1
"AluYj4",747272,0,0.7,0,1,3,3.4,0.889,1,1,1
"AluSx1",36031458,18,32.3,0.558,0.00982786644445403,145,162.7,0.891,0.167444885781072,0.0963130911556495,1
"AluSc5",1946308,2,1.7,1.147,0.6950429091942,8,8.8,0.91,1,1,1
"AluSg4",2188130,3,2,1.53,0.453286899664965,9,9.9,0.911,1,1,1
"AluSz",31154145,16,27.9,0.573,0.0217502168099962,131,140.7,0.931,0.445333341669785,0.161766856053027,1
"AluSp",15840503,6,14.2,0.423,0.0231095508647182,67,71.5,0.937,0.635364959519546,0.161766856053027,1
"AluJr",21365480,12,19.1,0.627,0.107819912794562,91,96.5,0.943,0.60950892327472,0.473814829575786,1
"AluSx4",3283359,3,2.9,1.02,0.77158452490072,14,14.8,0.944,1,1,1
"AluSz6",13217980,9,11.8,0.76,0.55750137979994,58,59.7,0.972,0.896720791734298,1,1
"AluJb",33741944,28,30.2,0.926,0.783420416999356,154,152.4,1.011,0.870546987090336,1,1
"AluYc",1066449,1,1,1.047,0.615411551866177,5,4.8,1.038,0.81844445807595,1,1
"AluJr4",4906730,2,4.4,0.455,0.341069601028539,42,22.2,1.895,0.000161802397993625,1,0.00264277250056254
"AluYe6",58351,0,0.1,0,1,1,0.3,3.795,0.231661264268508,1,1
"AluYk11",98393,0,0.1,0,1,2,0.4,4.501,0.073823145268096,1,0.602889019689451
