"subfamily","bp","pM_obs","pM_exp","pM_ratio","pM_p","nM_obs","nM_exp","nM_ratio","nM_p","pM_fdr","nM_fdr"
"AluJb",33741944,104,105.1,0.989,0.960873654066664,229,138,1.659,9.01853388954538e-13,1,4.41908160587724e-11
"AluJo",18416238,74,57.4,1.29,0.0336565730205113,142,75.3,1.885,5.61490223469911e-12,0.197146616241756,1.37565104750128e-10
"AluJr",21365480,84,66.6,1.262,0.0362106029831796,148,87.4,1.693,2.78809643835386e-09,0.197146616241756,4.5538908493113e-08
"AluSz",31154145,84,97.1,0.865,0.201666099772626,190,127.4,1.491,1.73433476985648e-07,0.572735028493945,2.12456009307418e-06
"AluSz6",13217980,36,41.2,0.874,0.481504364702829,80,54.1,1.48,0.000812462873592587,0.988785293001649,0.00796213616120735
"AluSx1",36031458,87,112.3,0.775,0.0153274938400319,186,147.4,1.262,0.0018692969075767,0.125174533026927,0.0152659247452097
"AluY",33438407,65,104.2,0.624,5.06931714503166e-05,102,136.8,0.746,0.00223283699523452,0.00149205998529752,0.0156298589666416
"AluJr4",4906730,16,15.3,1.047,0.797445726523989,30,20.1,1.495,0.0329900549969231,1,0.202064086856154
"AluSx",35977684,87,112.1,0.776,0.015307670311098,172,147.2,1.169,0.0420378254523809,0.125174533026927,0.22887260524074
"AluYb8",849674,0,2.6,0,0.123379104524801,0,3.5,0,0.056719166033681,0.431826865836803,0.277923913565037
"AluSq",5737310,15,17.9,0.839,0.634286522364014,32,23.5,1.363,0.0789419793070248,1,0.351650635094929
"AluSg4",2188130,7,6.8,1.027,0.847325166735089,14,9,1.564,0.0932738681322034,1,0.380868294873164
"AluSp",15840503,28,49.4,0.567,0.00127850125150492,77,64.8,1.188,0.134374431039402,0.0208821871079137,0.506488240071593
"AluYg6",174258,2,0.5,3.684,0.103475349632963,2,0.7,2.806,0.160277681381474,0.390022471693476,0.560971884835158
"AluSx3",9035779,9,28.2,0.32,6.09004075631641e-05,45,37,1.217,0.18664168028488,0.00149205998529752,0.603470360280986
"AluYh3",636470,0,2,0,0.27742379333846,0,2.6,0,0.197051546214199,0.679688293679226,0.603470360280986
"AluYm1",1510891,6,4.7,1.275,0.484303000653869,9,6.2,1.456,0.226247550784691,0.988785293001649,0.652125293438226
"AluSc5",1946308,4,6.1,0.66,0.541322016207526,11,8,1.382,0.282036840665587,1,0.767766955145208
"AluSc8",6621228,16,20.6,0.776,0.376449581570816,32,27.1,1.181,0.334940058321652,0.840625538867376,0.820603142888046
"AluYk11",98393,0,0.3,0,1,1,0.4,2.484,0.331357124689137,1,0.820603142888046
"AluSg7",2543617,4,7.9,0.505,0.210392459446755,13,10.4,1.249,0.434042430480354,0.572735028493945,0.962538833857507
"AluSq10",499284,3,1.6,1.929,0.20519878702507,3,2,1.469,0.464498075059331,0.572735028493945,0.962538833857507
"AluYc3",155864,0,0.5,0,1,1,0.6,1.568,0.471447592093473,1,0.962538833857507
"AluYe5",366306,1,1.1,0.876,1,0,1.5,0,0.414211630203032,1,0.962538833857507
"AluYa5",1207591,1,3.8,0.266,0.197940502242393,3,4.9,0.607,0.502556763182076,0.572735028493945,0.985011255836868
"AluSc",10377677,21,32.3,0.65,0.042605035322208,39,42.5,0.919,0.700128817086923,0.203749345562496,1
"AluSg",11530852,23,35.9,0.64,0.0292637269848642,51,47.2,1.081,0.559005344899069,0.197146616241756,1
"AluSq2",18656730,39,58.1,0.671,0.0101096222130967,74,76.3,0.97,0.863118541463278,0.123842872110434,1
"AluSq4",539286,1,1.7,0.595,1,1,2.2,0.453,0.731984254410357,1,1
"AluSx4",3283359,6,10.2,0.587,0.268893894680246,11,13.4,0.819,0.680258630000128,0.679688293679226,1
"AluYa8",45486,0,0.1,0,1,0,0.2,0,1,1,1
"AluYb10",4960,0,0,0,1,0,0,0,1,1,1
"AluYb11",178,0,0,0,1,0,0,0,1,1,1
"AluYb8a1",3256,0,0,0,1,0,0,0,1,1,1
"AluYb9",99922,0,0.3,0,1,0,0.4,0,1,1,1
"AluYc",1066449,2,3.3,0.602,0.779519402460584,3,4.4,0.688,0.807606781833217,1,1
"AluYd8",57077,0,0.2,0,1,0,0.2,0,1,1,1
"AluYe6",58351,0,0.2,0,1,0,0.2,0,1,1,1
"AluYf1",616413,5,1.9,2.604,0.0457396490038257,3,2.5,1.19,0.744589182044469,0.203749345562496,1
"AluYh3a3",77311,0,0.2,0,1,0,0.3,0,1,1,1
"AluYh7",24949,0,0.1,0,1,0,0.1,0,1,1,1
"AluYh9",12891,0,0,0,1,0,0.1,0,1,1,1
"AluYi6",93122,0,0.3,0,1,0,0.4,0,1,1,1
"AluYi6_4d",36314,0,0.1,0,1,0,0.1,0,1,1,1
"AluYj4",747272,5,2.3,2.148,0.087043949252343,2,3.1,0.654,0.776049280063724,0.355429459447067,1
"AluYk12",38172,0,0.1,0,1,0,0.2,0,1,1,1
"AluYk2",343952,0,1.1,0,0.632998839806959,0,1.4,0,0.655447435130744,1,1
"AluYk3",421119,2,1.3,1.524,0.37742371132821,2,1.7,1.161,0.692345836855134,0.840625538867376,1
"AluYk4",315999,0,1,0,1,0,1.3,0,0.645100411099819,1,1
