chrom,start,end,dose,strength_tier,young,middle,old
chr1,1073681,1073992,100pM,strong,0,0,0
chr1,6959496,6959887,100pM,strong,0,0,0
chr1,6960500,6960815,100pM,strong,0,0,0
chr1,7447823,7448146,100pM,strong,0,0,0
chr1,12486368,12486732,100pM,strong,0,0,0
chr1,15015804,15016248,100pM,strong,0,0,0
chr1,16608337,16608848,100pM,strong,0,0,0
chr1,16614389,16614585,100pM,strong,0,0,0
chr1,17520505,17520840,100pM,strong,0,0,0
chr1,17529531,17529724,100pM,strong,0,0,0
chr1,19596712,19596907,100pM,strong,0,0,0
chr1,20357309,20357585,100pM,strong,0,0,0
chr1,21639182,21639368,100pM,strong,0,0,0
chr1,22472570,22472951,100pM,strong,0,0,0
chr1,23957177,23957396,100pM,strong,0,0,0
chr1,24018888,24019114,100pM,strong,0,0,0
chr1,24567986,24568423,100pM,strong,0,0,0
chr1,24570458,24570762,100pM,strong,0,0,1
chr1,31830415,31830623,100pM,strong,0,0,0
chr1,31830746,31831071,100pM,strong,0,0,0
chr1,31842915,31843238,100pM,strong,0,0,0
chr1,31880177,31880453,100pM,strong,0,0,0
chr1,37793330,37793632,100pM,strong,0,0,0
chr1,40141069,40141303,100pM,strong,0,0,0
chr1,41789713,41790145,100pM,strong,0,0,0
chr1,41860205,41860513,100pM,strong,0,0,0
chr1,41866307,41866590,100pM,strong,0,0,0
chr1,41868211,41868524,100pM,strong,0,0,0
chr1,42992408,42992727,100pM,strong,0,0,0
chr1,43830851,43831145,100pM,strong,0,0,0
chr1,45304711,45304967,100pM,strong,0,0,0
chr1,51321415,51321751,100pM,strong,0,0,0
chr1,51567594,51568036,100pM,strong,0,0,0
chr1,74652416,74652892,100pM,strong,0,0,0
chr1,108199222,108199511,100pM,strong,0,0,0
chr1,109115714,109115910,100pM,strong,0,0,0
chr1,113976671,113976901,100pM,strong,0,0,0
chr1,114034116,114034362,100pM,strong,0,0,0
chr1,115665492,115665732,100pM,strong,0,0,0
chr1,147669350,147669543,100pM,strong,0,0,0
chr1,150981812,150982046,100pM,strong,0,0,0
chr1,156616569,156616758,100pM,strong,0,0,0
chr1,162159452,162159808,100pM,strong,0,0,0
chr1,162165654,162166154,100pM,strong,0,0,0
chr1,165163058,165163257,100pM,strong,0,0,0
chr1,169529402,169529671,100pM,strong,0,0,0
chr1,177440911,177441225,100pM,strong,0,0,0
chr1,177448787,177449083,100pM,strong,0,0,0
chr1,180228560,180228795,100pM,strong,0,0,0
chr1,183023877,183024182,100pM,strong,0,0,0
chr1,197485899,197486152,100pM,strong,0,0,0
chr1,200016796,200017202,100pM,strong,0,0,0
chr1,202112892,202113122,100pM,strong,0,0,0
chr1,202335280,202335753,100pM,strong,0,0,0
chr1,204380599,204380847,100pM,strong,0,0,0
chr1,206843673,206844040,100pM,strong,0,0,1
chr1,206847578,206847852,100pM,strong,0,0,0
chr1,206901277,206901525,100pM,strong,0,0,0
chr1,206903622,206904056,100pM,strong,0,0,0
chr1,209546443,209546675,100pM,strong,0,0,0
chr1,215482087,215482533,100pM,strong,0,0,0
chr1,215540271,215540505,100pM,strong,0,0,0
chr1,230057950,230058142,100pM,strong,0,0,0
chr1,234963265,234963474,100pM,strong,0,0,0
chr10,6296757,6297000,100pM,strong,0,0,0
chr10,6297797,6298260,100pM,strong,0,0,0
chr10,9038268,9038462,100pM,strong,0,0,0
chr10,9187057,9187372,100pM,strong,0,0,0
chr10,9188115,9188909,100pM,strong,0,0,0
chr10,12872688,12872953,100pM,strong,0,1,0
chr10,12873364,12873602,100pM,strong,0,0,0
chr10,17445657,17446022,100pM,strong,0,0,0
chr10,22583740,22584140,100pM,strong,0,0,0
chr10,22633062,22633303,100pM,strong,0,0,0
chr10,28496002,28496355,100pM,strong,0,0,0
chr10,28496462,28496765,100pM,strong,0,0,0
chr10,28925448,28925802,100pM,strong,0,0,0
chr10,29107997,29108183,100pM,strong,0,0,0
chr10,29124903,29125331,100pM,strong,1,0,0
chr10,29630289,29630652,100pM,strong,0,0,0
chr10,43026432,43026740,100pM,strong,0,0,0
chr10,44173312,44173898,100pM,strong,0,0,0
chr10,48287985,48288255,100pM,strong,0,0,0
chr10,60848276,60848507,100pM,strong,0,0,0
chr10,60848683,60848985,100pM,strong,0,0,0
chr10,61409896,61410152,100pM,strong,0,0,0
chr10,63630603,63631285,100pM,strong,0,0,0
chr10,63712118,63712436,100pM,strong,0,0,0
chr10,69439408,69439594,100pM,strong,0,0,0
chr10,79128553,79128917,100pM,strong,0,0,0
chr10,79158513,79158781,100pM,strong,0,0,0
chr10,80966678,80966928,100pM,strong,0,0,0
chr10,90917726,90918032,100pM,strong,0,0,0
chr10,93435055,93435514,100pM,strong,0,0,0
chr10,93440624,93440932,100pM,strong,0,0,0
chr10,97571653,97571927,100pM,strong,0,0,0
chr10,100883315,100883698,100pM,strong,0,0,0
chr10,102710669,102711018,100pM,strong,0,0,0
chr10,103890166,103890456,100pM,strong,0,0,0
chr10,110789870,110790137,100pM,strong,0,0,0
chr10,113678566,113679106,100pM,strong,0,0,0
chr10,114239172,114239585,100pM,strong,0,0,0
chr10,114349654,114350005,100pM,strong,0,0,0
