"peak_chrom","peak_start","peak_end","alu_chrom","alu_start","alu_end","subfamily","distance","set","dose","alu_key","has_motif"
"chr1",177448801,177449030,"chr1",177449964,177450277,"AluY",935,"SetA","10pM","chr1:177449964-177450277",FALSE
"chr10",29125001,29125280,"chr10",29125288,29125586,"AluY",9,"SetA","10pM","chr10:29125288-29125586",FALSE
"chr10",113678681,113679045,"chr10",113677808,113678119,"AluY",563,"SetA","10pM","chr10:113677808-113678119",FALSE
"chr11",79060002,79060511,"chr11",79058261,79058565,"AluY",1438,"SetA","10pM","chr11:79058261-79058565",FALSE
"chr2",138435815,138436026,"chr2",138437008,138437309,"AluY",983,"SetA","10pM","chr2:138437008-138437309",FALSE
"chr7",33832908,33833173,"chr7",33833365,33833681,"AluY",193,"SetA","10pM","chr7:33833365-33833681",FALSE
"chr7",35025320,35025540,"chr7",35023823,35024135,"AluY",1186,"SetA","10pM","chr7:35023823-35024135",FALSE
"chr10",29125001,29125280,"chr10",29125288,29125586,"AluY",9,"SetB","10pM","chr10:29125288-29125586",FALSE
"chr1",42992408,42992727,"chr1",42992969,42993270,"AluY",243,"SetA","100pM","chr1:42992969-42993270",FALSE
"chr1",71461536,71461747,"chr1",71457693,71458001,"AluY",3536,"SetA","100pM","chr1:71457693-71458001",FALSE
"chr1",177448787,177449083,"chr1",177449964,177450277,"AluY",882,"SetA","100pM","chr1:177449964-177450277",FALSE
"chr1",206847578,206847852,"chr1",206848499,206848813,"AluY",648,"SetA","100pM","chr1:206848499-206848813",FALSE
"chr10",29124903,29125331,"chr10",29125288,29125586,"AluY",0,"SetA","100pM","chr10:29125288-29125586",FALSE
"chr10",61669856,61670123,"chr10",61671044,61671337,"AluY",922,"SetA","100pM","chr10:61671044-61671337",FALSE
"chr10",102710669,102711018,"chr10",102711469,102711782,"AluY",452,"SetA","100pM","chr10:102711469-102711782",FALSE
"chr10",104480897,104481116,"chr10",104478926,104479226,"AluY",1672,"SetA","100pM","chr10:104478926-104479226",FALSE
"chr10",113678566,113679106,"chr10",113677808,113678119,"AluY",448,"SetA","100pM","chr10:113677808-113678119",FALSE
