"chrom","start","end","pro_plus_abs","pro_minus_abs","bidir","in_setB"
"chr1",1073681,1073992,15.33,307.53,0.0498487952394888,FALSE
"chr1",6959496,6959887,374.46,44.45,0.118704267478502,FALSE
"chr1",6960500,6960815,400.31,14.51,0.0362469086457995,FALSE
"chr1",7447823,7448146,22.99,173.27,0.132683095746523,FALSE
"chr1",8198042,8198259,0.96,0,0,FALSE
"chr1",12485491,12485922,29.69,13.61,0.458403502862917,TRUE
"chr1",12486368,12486732,206.86,43.54,0.210480518224886,FALSE
"chr1",15015804,15016248,234.64,152.41,0.64954824411865,TRUE
"chr1",15025569,15025853,14.37,0,0,FALSE
"chr1",16608337,16608848,1110.9,368.31,0.331541992978666,TRUE
"chr1",16614389,16614585,45.01,88.9,0.506299212598425,TRUE
"chr1",17520505,17520840,64.18,13.61,0.212059831723278,FALSE
"chr1",17529531,17529724,12.45,9.98,0.801606425702811,TRUE
"chr1",18365914,18366222,0,0.91,0,FALSE
"chr1",19425850,19426050,12.45,2.72,0.218473895582329,FALSE
"chr1",19596712,19596907,17.24,330.21,0.0522092002059296,FALSE
"chr1",20357309,20357585,91.93,40.83,0.444142282171217,TRUE
"chr1",21639182,21639368,5.75,15.42,0.372892347600519,TRUE
"chr1",22469549,22469760,20.11,9.08,0.451516658378916,TRUE
"chr1",22472570,22472951,25.86,56.24,0.459815078236131,TRUE
"chr1",23957177,23957396,186.75,101.6,0.544042838018742,TRUE
"chr1",24001327,24001620,38.32,0,0,FALSE
"chr1",24018888,24019114,85.24,60.78,0.713045518535899,TRUE
"chr1",24567986,24568423,911.7,97.96,0.107447625315345,FALSE
"chr1",24570458,24570762,137.91,6.35,0.0460445217895729,FALSE
"chr1",30302820,30303518,40.23,13.6,0.338056176982352,TRUE
"chr1",30345509,30345956,6.71,2.72,0.405365126676602,TRUE
"chr1",31186682,31186876,0,8.16,0,FALSE
"chr1",31368808,31369184,28.73,2.72,0.0946745562130178,FALSE
"chr1",31830415,31830623,45.01,28.13,0.62497222839369,TRUE
"chr1",31830746,31831071,38.32,35.38,0.923277661795407,TRUE
"chr1",31842915,31843238,31.6,48.08,0.657237936772047,TRUE
"chr1",31880177,31880453,31.6,152.4,0.207349081364829,FALSE
