"chrom","start","end","pro_plus_abs","pro_minus_abs","bidir","in_setB"
"chr1",1073678,1074129,91.04,769.81,0.118262948000156,FALSE
"chr1",1433072,1433276,0,8.68,0,FALSE
"chr1",3338327,3338598,15.73,0,0,FALSE
"chr1",6909719,6910351,52.83,32.58,0.616695059625213,TRUE
"chr1",6910523,6910780,15.73,0,0,FALSE
"chr1",6959514,6959901,432.7,42.34,0.0978507048763578,FALSE
"chr1",6960467,6960830,600.16,29.32,0.0488536390295921,FALSE
"chr1",7447812,7448166,62.94,583.06,0.107947724076424,FALSE
"chr1",8194603,8194792,0,6.52,0,FALSE
"chr1",8197986,8198307,19.11,6.52,0.341182626896913,TRUE
"chr1",12485298,12485966,52.83,159.61,0.330994298602844,TRUE
"chr1",12486333,12486739,340.55,160.71,0.471913081779474,TRUE
"chr1",12549659,12549898,3.37,2.18,0.646884272997033,TRUE
"chr1",12600241,12600687,3.37,80.35,0.0419415059116366,FALSE
"chr1",14977307,14977611,21.35,21.71,0.983417779824965,TRUE
"chr1",15015761,15016281,234.89,364.81,0.643869411474466,TRUE
"chr1",15017175,15017494,278.73,40.16,0.144082086607111,FALSE
"chr1",15025531,15025946,17.98,15.2,0.845383759733037,TRUE
"chr1",15229863,15230206,37.09,5.43,0.146400647074683,FALSE
"chr1",15463073,15463416,4.49,39.09,0.114863136352008,FALSE
"chr1",16175953,16176143,2.25,29.31,0.0767656090071648,FALSE
"chr1",16608332,16608858,1359.91,633.01,0.465479333191167,TRUE
"chr1",16614327,16614627,240.51,304.01,0.791125291931186,TRUE
"chr1",17098995,17099214,9,3.26,0.362222222222222,TRUE
"chr1",17314813,17315102,21.35,8.68,0.40655737704918,TRUE
"chr1",17520439,17520863,274.24,120.53,0.439505542590432,TRUE
"chr1",17529475,17529939,86.55,41.27,0.47683419988446,TRUE
"chr1",18365842,18366528,175.34,3.26,0.0185924489563134,FALSE
"chr1",19425792,19426080,34.85,29.32,0.841319942611191,TRUE
"chr1",19427223,19427535,39.34,269.27,0.146098711330635,FALSE
"chr1",19582218,19582520,3.37,13.04,0.258435582822086,FALSE
"chr1",19593336,19593535,1.12,0,0,FALSE
"chr1",19596699,19596910,29.22,324.65,0.0900046203603881,FALSE
"chr1",20355925,20356115,31.47,65.15,0.483039140445127,TRUE
"chr1",20356884,20357158,195.58,325.72,0.600454377993369,TRUE
"chr1",20357290,20357607,175.33,248.64,0.705156048906049,TRUE
"chr1",20358761,20358955,15.73,297.5,0.0528739495798319,FALSE
"chr1",21254718,21254936,1.12,18.46,0.0606717226435536,FALSE
"chr1",21622202,21622399,4.49,3.26,0.726057906458797,TRUE
"chr1",21625789,21626047,5.62,24.98,0.22497998398719,FALSE
"chr1",21634296,21634525,167.46,43.43,0.259345515346948,FALSE
"chr1",21635679,21635892,85.42,5.43,0.0635682509950831,FALSE
"chr1",21638902,21639427,86.54,74.91,0.865611278021724,TRUE
"chr1",22412975,22413223,3.37,0,0,FALSE
"chr1",22469467,22469845,51.7,46.69,0.903094777562863,TRUE
"chr1",22472570,22472969,56.2,65.16,0.862492326580724,TRUE
"chr1",22473128,22473375,182.07,2.17,0.011918492887351,FALSE
"chr1",23530946,23531146,106.78,33.65,0.315133920209777,TRUE
"chr1",23957158,23957400,268.61,180.23,0.670972785823313,TRUE
"chr1",24001310,24001604,16.85,0,0,FALSE
"chr1",24011684,24011909,282.1,45.61,0.161680255228642,FALSE
"chr1",24018922,24019127,110.14,6.52,0.0591973851461776,FALSE
"chr1",24567896,24568514,1249.77,174.8,0.139865735295294,FALSE
"chr1",24570438,24570752,270.86,46.7,0.172413793103448,FALSE
"chr1",25568239,25568426,13.49,14.12,0.955382436260623,TRUE
"chr1",25756916,25757497,25.85,19.54,0.755899419729207,TRUE
"chr1",29227650,29227897,122.5,138.98,0.881421787307526,TRUE
"chr1",30296255,30296857,80.92,24.98,0.308699950568463,TRUE
"chr1",30297801,30297992,1.12,7.6,0.147368421052632,FALSE
"chr1",30302766,30303545,134.87,109.67,0.813153406984504,TRUE
"chr1",30345510,30346020,22.48,2.18,0.0969750889679715,FALSE
"chr1",31186653,31186855,6.74,4.34,0.643916913946587,TRUE
"chr1",31187128,31187306,60.69,19.55,0.322128851540616,TRUE
"chr1",31368804,31369196,43.83,13.04,0.297513118868355,TRUE
"chr1",31412867,31413114,1.12,42.35,0.0264462809917355,FALSE
"chr1",31830385,31831096,472.03,272.54,0.577378556447683,TRUE
"chr1",31842897,31843251,309.07,288.8,0.934416151680849,TRUE
"chr1",31880132,31880513,79.8,210.65,0.378827438879658,TRUE
"chr1",31880927,31881133,80.92,155.26,0.521190261496844,TRUE
"chr1",31938612,31938853,165.21,33.66,0.203740693662611,FALSE
"chr1",32240512,32240732,79.8,21.72,0.27218045112782,FALSE
"chr1",32332888,32333132,21.36,152.01,0.140517071245313,FALSE
"chr1",33660453,33660816,25.85,0,0,FALSE
"chr1",34825716,34825952,34.84,1.09,0.0312858783008037,FALSE
"chr1",36204173,36204414,8.99,24.97,0.360032038446135,TRUE
"chr1",37793313,37793648,66.31,533.11,0.12438333552175,FALSE
"chr1",38421666,38421925,11.23,2.17,0.193232413178985,FALSE
"chr1",39142863,39143169,33.72,32.58,0.966192170818505,TRUE
"chr1",39178982,39179218,7.87,3.26,0.41423125794155,TRUE
"chr1",40141067,40141413,15.73,51.04,0.308189655172414,TRUE
"chr1",40919431,40919682,25.85,29.32,0.881650750341064,TRUE
"chr1",41423744,41423935,1.12,3.26,0.343558282208589,TRUE
"chr1",41501054,41501246,38.22,396.31,0.0964396558249855,FALSE
"chr1",41778380,41778711,0,22.81,0,FALSE
"chr1",41789462,41790164,29.22,347.44,0.0841008519456597,FALSE
"chr1",41860222,41860514,110.15,174.8,0.630148741418764,TRUE
"chr1",41866277,41866646,58.44,68.4,0.854385964912281,TRUE
"chr1",41868226,41868508,71.94,44.51,0.618710036141229,TRUE
"chr1",42657540,42657839,4.5,87.94,0.0511712531271321,FALSE
"chr1",42973325,42973633,8.99,46.69,0.192546583850932,FALSE
"chr1",42992395,42992755,59.57,6.52,0.109451065972805,FALSE
"chr1",42993651,42993854,7.87,1.09,0.138500635324015,FALSE
"chr1",43830879,43831133,66.31,4.34,0.0654501583471573,FALSE
"chr1",44819500,44819787,40.45,515.74,0.0784309923604917,FALSE
"chr1",45304686,45305021,872.13,93.39,0.107082659695229,FALSE
"chr1",45516829,45517272,32.59,183.48,0.177621539132331,FALSE
"chr1",46757743,46757945,236.02,255.15,0.925024495394866,TRUE
"chr1",47771882,47772174,7.87,30.4,0.258881578947368,FALSE
"chr1",47921090,47921356,8.99,4.34,0.482758620689655,TRUE
"chr1",51306909,51307377,26.97,31.5,0.856190476190476,TRUE
"chr1",51321375,51321740,82.03,32.58,0.397171766426917,TRUE
"chr1",51330417,51330621,47.2,56.47,0.83584204002125,TRUE
"chr1",51541829,51542117,14.61,3.26,0.223134839151266,FALSE
"chr1",51558726,51558928,67.44,13.03,0.193208778173191,FALSE
"chr1",51567650,51568006,41.58,36.91,0.887686387686388,TRUE
"chr1",51578785,51579036,15.73,47.78,0.329217245709502,TRUE
"chr1",56788305,56788684,35.96,9.78,0.271968854282536,FALSE
"chr1",61215661,61216109,58.44,0,0,FALSE
"chr1",64983178,64983493,6.74,72.74,0.0926587847126753,FALSE
"chr1",65044346,65044717,73.05,105.32,0.693600455753893,TRUE
"chr1",70915397,70915670,3.37,14.11,0.238837703756201,FALSE
"chr1",71448618,71448981,20.23,5.43,0.268413247652002,FALSE
"chr1",71461542,71461768,8.99,0,0,FALSE
"chr1",72003154,72003332,4.5,19.54,0.230296827021494,FALSE
"chr1",72006731,72006919,8.99,7.6,0.845383759733037,TRUE
"chr1",74652469,74652889,30.35,99.9,0.303803803803804,TRUE
"chr1",74690160,74690398,1.12,27.14,0.0412675018422992,FALSE
"chr1",74703398,74703706,14.62,29.32,0.498635743519782,TRUE
"chr1",74704481,74704661,3.37,4.35,0.774712643678161,TRUE
"chr1",76945059,76945298,2.25,20.63,0.109064469219583,FALSE
"chr1",79361272,79361541,1.12,1.09,0.973214285714286,TRUE
"chr1",85830588,85830833,6.74,55.37,0.121726566732888,FALSE
"chr1",91777635,91777863,35.96,8.68,0.241379310344828,FALSE
"chr1",93779814,93780031,3.37,3.26,0.967359050445104,TRUE
"chr1",94247857,94248035,59.57,30.4,0.510323988584858,TRUE
"chr1",107756413,107756674,13.48,16.28,0.828009828009828,TRUE
"chr1",107936675,107936935,1.12,30.39,0.0368542283645936,FALSE
"chr1",108199205,108199512,1187.96,603.69,0.508173675881343,TRUE
"chr1",109115686,109115954,503.51,38.01,0.075490059780342,FALSE
"chr1",109152291,109152489,162.96,246.48,0.661148977604674,TRUE
"chr1",109154634,109154837,83.17,8.69,0.10448479018877,FALSE
"chr1",109199227,109199532,33.72,32.57,0.965895610913405,TRUE
"chr1",109246327,109246512,88.79,36.92,0.415812591508053,TRUE
"chr1",109724307,109724731,39.34,99.89,0.393833216538192,TRUE
"chr1",109725615,109725800,101.16,17.37,0.171708185053381,FALSE
"chr1",110746388,110746855,1.12,7.6,0.147368421052632,FALSE
"chr1",111513417,111513851,16.86,9.77,0.579478054567023,TRUE
"chr1",113388233,113388465,32.59,224.76,0.144999110161951,FALSE
"chr1",113388753,113388948,87.66,346.36,0.253089271278439,FALSE
"chr1",113976649,113976918,188.81,111.84,0.592341507335417,TRUE
"chr1",114034092,114034399,212.42,475.57,0.446664003196165,TRUE
"chr1",115665480,115665754,51.7,8.69,0.168085106382979,FALSE
"chr1",115713116,115713357,37.1,171.55,0.216263480034975,FALSE
"chr1",115815768,115815948,0,0,0,FALSE
"chr1",116858983,116859242,12.37,5.43,0.438965238480194,TRUE
"chr1",116879801,116880032,46.09,94.47,0.487879750185244,TRUE
"chr1",145708160,145708649,32.59,31.49,0.96624731512734,TRUE
"chr1",147669292,147669634,127,286.65,0.443049014477586,TRUE
"chr1",147669743,147670037,133.74,245.38,0.545032194962915,TRUE
"chr1",147716570,147716848,1.12,204.13,0.00548669965218243,FALSE
"chr1",148376529,148376834,6.74,6.52,0.967359050445104,TRUE
"chr1",150981785,150982064,346.17,13.04,0.0376693532079614,FALSE
"chr1",151004090,151004329,8.99,51.04,0.176136363636364,FALSE
"chr1",151005963,151006157,129.24,71.66,0.554472299597648,TRUE
"chr1",151007989,151008328,149.48,289.89,0.515643864914278,TRUE
"chr1",151514187,151514424,148.35,78.18,0.526996966632963,TRUE
"chr1",151993963,151994280,158.48,143.31,0.904278142352347,TRUE
"chr1",152743167,152743481,0,15.2,0,FALSE
"chr1",154941548,154941753,5.62,1.09,0.193950177935943,FALSE
"chr1",156616556,156616807,539.46,62.97,0.116727838950061,FALSE
"chr1",157235285,157235522,0,3.26,0,FALSE
"chr1",161566395,161566574,144.98,8.69,0.0599393019726859,FALSE
"chr1",162159461,162159821,228.15,248.63,0.917628604754052,TRUE
"chr1",162163541,162163719,38.21,57.55,0.663944396177237,TRUE
"chr1",162165594,162166172,69.69,586.31,0.118862035442002,FALSE
"chr1",164748345,164748892,57.31,2.17,0.0378642470772989,FALSE
