"dose","chrom","start","end","atac","h3k27ac","pro_plus_abs","pro_minus_abs","proseq_mag","proseq_bidir","atac_log","h3k27ac_log","proseq_log","enhancer_score","pc1_var_explained","strength_tier"
"100pM","chr1",1073681,1073992,233.6923077,49.41666667,2.555,43.93285714,46.48785714,0.0581569277831858,5.45827532728791,3.92032180830896,3.86047403920144,2.78593458805368,0.75506,"strong"
"100pM","chr1",3213716,3213953,74.27272727,2.428571429,0,0.3033333333,0.3033333333,0,4.32111788155066,1.23214368141763,0.264925085303589,-1.17763393824335,0.75506,"weak"
"100pM","chr1",3338352,3338544,25.16666667,7.333333333,1.4375,0,1.4375,0,3.26448633624764,2.12026353616009,0.890972923889865,-1.09790448794166,0.75506,"weak"
"100pM","chr1",6909885,6910284,50,2.571428571,3.638,0.3033333333,3.9413333333,0.0833791460417812,3.93182563272433,1.27296567569289,1.5976352003082,-0.784117606159892,0.75506,"weak"
"100pM","chr1",6959496,6959887,157,20.64285714,53.49428571,5.55625,59.05053571,0.103866234052011,5.06259503302697,3.0746754757621,4.09518646955198,2.16186899300955,0.75506,"strong"
"100pM","chr1",6960500,6960815,129.4615385,14,57.18714286,2.418333333,59.605476193,0.0422880600788245,4.87107845918512,2.70805020110221,4.10438525521361,1.83394471998496,0.75506,"strong"
"100pM","chr1",7447823,7448146,106.8461538,12.23076923,5.7475,57.75666667,63.50416667,0.0995123218041489,4.68070570970504,2.58254511929378,4.16672982125015,1.66586653923747,0.75506,"strong"
"100pM","chr1",8198042,8198259,48.11111111,10,0.32,0,0.32,0,3.89408530471885,2.39789527279837,0.277631736598279,-0.811598820098339,0.75506,"weak"
"100pM","chr1",9950504,9950696,199.125,2.666666667,9.3375,2.2675,11.605,0.242838018741633,5.29894217131688,1.29928298422117,2.53409356063988,0.594218473777815,0.75506,"middle"
"100pM","chr1",12485491,12485922,55.64705882,19,3.71125,2.722,6.43325,0.733445604580667,4.0368400676796,2.99573227355399,2.00596317897279,0.436652324352036,0.75506,"middle"
"100pM","chr1",12486368,12486732,94.13333333,20.61538462,25.8575,5.4425,31.3,0.210480518224886,4.55527941633959,3.07340531208573,3.47506723022861,1.52570282024592,0.75506,"strong"
"100pM","chr1",12600248,12600667,55.47058824,6.545454545,0.768,7.145,7.913,0.107487753673898,4.033719940489,2.02094533493799,2.18751088514858,-0.0203904331353069,0.75506,"middle"
