"chrom","start","end","nearest_alu_subfamily","distance","set","dose","overlaps_alu"
"chr1",15015890,15016172,"AluSq2",118,"SetA_ER_H3K27ac","10pM",FALSE
"chr1",177448801,177449030,"AluY",935,"SetA_ER_H3K27ac","10pM",FALSE
"chr1",202335316,202335676,"AluSx",243,"SetA_ER_H3K27ac","10pM",FALSE
"chr1",206903659,206903973,"AluSx1",5474,"SetA_ER_H3K27ac","10pM",FALSE
"chr10",9188256,9188523,"AluJo",1432,"SetA_ER_H3K27ac","10pM",FALSE
"chr10",29125001,29125280,"AluY",9,"SetA_ER_H3K27ac","10pM",FALSE
"chr10",113678681,113679045,"AluY",563,"SetA_ER_H3K27ac","10pM",FALSE
"chr10",115664728,115665064,"AluJo",2589,"SetA_ER_H3K27ac","10pM",FALSE
"chr10",125624825,125625069,"AluSg",4972,"SetA_ER_H3K27ac","10pM",FALSE
"chr11",1796530,1796894,"AluSx",249,"SetA_ER_H3K27ac","10pM",FALSE
"chr11",30521750,30521977,"AluSp",1645,"SetA_ER_H3K27ac","10pM",FALSE
"chr11",69515346,69515596,"AluSz",724,"SetA_ER_H3K27ac","10pM",FALSE
"chr11",69891630,69891877,"AluSp",3874,"SetA_ER_H3K27ac","10pM",FALSE
"chr11",72786504,72786719,"AluJr",68,"SetA_ER_H3K27ac","10pM",FALSE
"chr11",76772600,76772886,"AluJb",1979,"SetA_ER_H3K27ac","10pM",FALSE
"chr11",78260119,78260414,"AluSq2",62,"SetA_ER_H3K27ac","10pM",FALSE
"chr11",79060002,79060511,"AluY",1438,"SetA_ER_H3K27ac","10pM",FALSE
"chr11",118057893,118058137,"AluSz",2790,"SetA_ER_H3K27ac","10pM",FALSE
"chr11",131692244,131692561,"AluJb",20053,"SetA_ER_H3K27ac","10pM",FALSE
"chr12",74871873,74872190,"AluJb",3409,"SetA_ER_H3K27ac","10pM",FALSE
"chr12",89465012,89465239,"AluSg",228,"SetA_ER_H3K27ac","10pM",FALSE
"chr12",97568736,97569021,"AluSx1",8379,"SetA_ER_H3K27ac","10pM",FALSE
"chr12",103175682,103175906,"AluSp",4710,"SetA_ER_H3K27ac","10pM",FALSE
"chr12",116390409,116390739,"AluSx3",414,"SetA_ER_H3K27ac","10pM",FALSE
"chr13",38684817,38685106,"AluSc",4215,"SetA_ER_H3K27ac","10pM",FALSE
"chr14",33781416,33781700,"AluSp",3022,"SetA_ER_H3K27ac","10pM",FALSE
"chr14",77400275,77400589,"AluSg",504,"SetA_ER_H3K27ac","10pM",FALSE
"chr14",93017459,93017676,"AluSz",3635,"SetA_ER_H3K27ac","10pM",FALSE
"chr14",100012335,100012546,"AluSq",1640,"SetA_ER_H3K27ac","10pM",FALSE
"chr15",39668517,39668793,"AluJo",1680,"SetA_ER_H3K27ac","10pM",FALSE
"chr15",65286169,65286504,"AluSp",732,"SetA_ER_H3K27ac","10pM",FALSE
"chr15",71104787,71105000,"AluSq2",1923,"SetA_ER_H3K27ac","10pM",FALSE
"chr16",4152307,4152600,"AluSx1",280,"SetA_ER_H3K27ac","10pM",FALSE
"chr16",16973870,16974118,"AluSz",840,"SetA_ER_H3K27ac","10pM",FALSE
"chr17",57342898,57343217,"AluSg",1612,"SetA_ER_H3K27ac","10pM",FALSE
"chr17",58639720,58639974,"AluSx",55,"SetA_ER_H3K27ac","10pM",FALSE
"chr19",40920965,40921766,"AluSz6",1610,"SetA_ER_H3K27ac","10pM",FALSE
"chr2",11498587,11498893,"AluJb",498,"SetA_ER_H3K27ac","10pM",FALSE
"chr2",11539556,11539836,"AluJo",207,"SetA_ER_H3K27ac","10pM",FALSE
"chr2",99636703,99636935,"AluJo",1103,"SetA_ER_H3K27ac","10pM",FALSE
"chr2",138435815,138436026,"AluY",983,"SetA_ER_H3K27ac","10pM",FALSE
"chr2",176845777,176845995,"AluSx",7300,"SetA_ER_H3K27ac","10pM",FALSE
"chr2",237041382,237041602,"AluSx",2355,"SetA_ER_H3K27ac","10pM",FALSE
"chr20",50727424,50727773,"AluJo",941,"SetA_ER_H3K27ac","10pM",FALSE
"chr20",56735314,56735558,"AluSz",366,"SetA_ER_H3K27ac","10pM",FALSE
"chr21",15586908,15587257,"AluSz",213,"SetA_ER_H3K27ac","10pM",FALSE
"chr22",28813708,28813989,"AluSz",80,"SetA_ER_H3K27ac","10pM",FALSE
"chr22",37189203,37189443,"AluJo",2136,"SetA_ER_H3K27ac","10pM",FALSE
"chr22",39292907,39293161,"AluSx4",0,"SetA_ER_H3K27ac","10pM",TRUE
"chr3",107999562,107999832,"AluY",0,"SetA_ER_H3K27ac","10pM",TRUE
"chr3",120661394,120661614,"AluSx1",595,"SetA_ER_H3K27ac","10pM",FALSE
"chr3",189842729,189842983,"AluSx",1179,"SetA_ER_H3K27ac","10pM",FALSE
"chr4",88335022,88335270,"AluSz",287,"SetA_ER_H3K27ac","10pM",FALSE
"chr4",100780237,100780452,"AluSx1",3745,"SetA_ER_H3K27ac","10pM",FALSE
"chr5",106241554,106241930,"AluSc",610,"SetA_ER_H3K27ac","10pM",FALSE
"chr5",125410083,125410350,"AluYb8",8575,"SetA_ER_H3K27ac","10pM",FALSE
"chr5",132378689,132378906,"FLAM_C",452,"SetA_ER_H3K27ac","10pM",FALSE
"chr5",174483457,174483711,"AluSq",1466,"SetA_ER_H3K27ac","10pM",FALSE
"chr6",53464981,53465245,"AluSz",997,"SetA_ER_H3K27ac","10pM",FALSE
"chr6",73520109,73521330,"AluSz",1269,"SetA_ER_H3K27ac","10pM",FALSE
"chr6",135211302,135211537,"AluSx1",1770,"SetA_ER_H3K27ac","10pM",FALSE
"chr6",151658140,151658385,"AluSq",625,"SetA_ER_H3K27ac","10pM",FALSE
"chr7",16880611,16880838,"AluSq2",154,"SetA_ER_H3K27ac","10pM",FALSE
"chr7",33832908,33833173,"AluY",193,"SetA_ER_H3K27ac","10pM",FALSE
"chr7",35025320,35025540,"AluY",1186,"SetA_ER_H3K27ac","10pM",FALSE
"chr8",8289176,8289429,"AluSz",836,"SetA_ER_H3K27ac","10pM",FALSE
"chr8",66714065,66714337,"AluSg",909,"SetA_ER_H3K27ac","10pM",FALSE
"chr8",68854511,68854776,"AluSp",2152,"SetA_ER_H3K27ac","10pM",FALSE
"chr8",97764126,97764652,"AluJb",0,"SetA_ER_H3K27ac","10pM",TRUE
"chr8",106624083,106624294,"AluJb",495,"SetA_ER_H3K27ac","10pM",FALSE
"chr8",127870584,127870925,"AluSx1",484,"SetA_ER_H3K27ac","10pM",FALSE
